location,year_range,region_of_residence,nights,visits,gbp_spent
East Renfrewshire,2014-2016,Scotland,0,0,0
East Renfrewshire,2016-2018,England,11000,7000,0
East Renfrewshire,2010-2012,Scotland,13000,7000,1000000
East Renfrewshire,2016-2018,All of GB,17000,10000,1000000
East Renfrewshire,2010-2012,All of GB,15000,8000,1000000
East Renfrewshire,2010-2012,England,3000,1000,0
East Renfrewshire,2017-2019,Scotland,2000,2000,0
East Renfrewshire,2016-2018,Scotland,2000,2000,0
East Renfrewshire,2011-2013,Scotland,4000,1000,1000000
East Renfrewshire,2015-2017,All of GB,17000,10000,1000000
East Renfrewshire,2015-2017,Scotland,2000,2000,0
East Renfrewshire,2015-2017,England,11000,7000,0
Na h-Eileanan Siar,2009-2011,All of GB,453000,84000,23000000
Na h-Eileanan Siar,2009-2011,England,190000,35000,9000000
Na h-Eileanan Siar,2009-2011,Scotland,249000,46000,13000000
Na h-Eileanan Siar,2013-2015,England,273000,45000,18000000
Na h-Eileanan Siar,2013-2015,All of GB,681000,115000,41000000
Na h-Eileanan Siar,2013-2015,Scotland,390000,68000,21000000
Na h-Eileanan Siar,2014-2016,All of GB,663000,121000,37000000
Na h-Eileanan Siar,2014-2016,England,351000,59000,20000000
Na h-Eileanan Siar,2012-2014,Scotland,425000,75000,25000000
Na h-Eileanan Siar,2014-2016,Scotland,293000,60000,13000000
Na h-Eileanan Siar,2012-2014,All of GB,681000,112000,44000000
Na h-Eileanan Siar,2012-2014,England,238000,35000,17000000
Na h-Eileanan Siar,2015-2017,All of GB,726000,141000,33000000
Na h-Eileanan Siar,2016-2018,All of GB,984000,168000,38000000
Na h-Eileanan Siar,2015-2017,England,363000,54000,18000000
Na h-Eileanan Siar,2015-2017,Scotland,363000,87000,15000000
Na h-Eileanan Siar,2016-2018,Scotland,411000,105000,18000000
Na h-Eileanan Siar,2016-2018,England,547000,61000,18000000
Na h-Eileanan Siar,2011-2013,England,237000,35000,16000000
Na h-Eileanan Siar,2011-2013,Scotland,347000,60000,19000000
Na h-Eileanan Siar,2011-2013,All of GB,599000,98000,36000000
Na h-Eileanan Siar,2017-2019,Scotland,646000,146000,37000000
Na h-Eileanan Siar,2017-2019,All of GB,1212000,201000,62000000
Na h-Eileanan Siar,2017-2019,England,541000,54000,23000000
Na h-Eileanan Siar,2010-2012,England,232000,35000,16000000
Na h-Eileanan Siar,2010-2012,Scotland,341000,57000,16000000
Na h-Eileanan Siar,2010-2012,All of GB,588000,95000,33000000
Falkirk,2016-2018,England,274000,65000,16000000
Falkirk,2016-2018,Scotland,318000,139000,14000000
Falkirk,2016-2018,All of GB,602000,207000,30000000
Falkirk,2010-2012,Scotland,150000,76000,10000000
Falkirk,2015-2017,All of GB,597000,215000,29000000
Falkirk,2015-2017,England,221000,54000,14000000
Falkirk,2010-2012,England,289000,78000,14000000
Falkirk,2010-2012,All of GB,440000,154000,24000000
Falkirk,2015-2017,Scotland,366000,158000,16000000
Falkirk,2011-2013,Scotland,130000,64000,9000000
Falkirk,2011-2013,All of GB,320000,126000,18000000
Falkirk,2011-2013,England,190000,62000,9000000
Falkirk,2017-2019,Scotland,114000,42000,10000000
Falkirk,2017-2019,All of GB,330000,98000,21000000
Falkirk,2017-2019,England,204000,53000,11000000
Falkirk,2012-2014,All of GB,293000,118000,17000000
Falkirk,2009-2011,All of GB,449000,146000,23000000
Falkirk,2012-2014,England,177000,60000,8000000
Falkirk,2009-2011,Scotland,112000,63000,5000000
Falkirk,2009-2011,England,337000,83000,19000000
Falkirk,2014-2016,England,225000,60000,14000000
Falkirk,2014-2016,All of GB,598000,217000,29000000
Falkirk,2012-2014,Scotland,106000,54000,9000000
Falkirk,2014-2016,Scotland,353000,151000,14000000
Falkirk,2013-2015,England,161000,53000,10000000
Falkirk,2013-2015,All of GB,256000,104000,15000000
Falkirk,2013-2015,Scotland,85000,49000,4000000
Highland,2013-2015,England,3355000,707000,264000000
Highland,2013-2015,Scotland,3362000,989000,215000000
Highland,2017-2019,Scotland,4023000,1175000,236000000
Highland,2013-2015,All of GB,6860000,1721000,491000000
Highland,2017-2019,All of GB,7944000,1950000,492000000
Highland,2017-2019,England,3752000,743000,244000000
Highland,2015-2017,Scotland,3482000,978000,229000000
Highland,2012-2014,England,3060000,607000,210000000
Highland,2012-2014,All of GB,6636000,1731000,434000000
Highland,2012-2014,Scotland,3413000,1095000,212000000
Highland,2014-2016,England,3534000,707000,274000000
Highland,2014-2016,All of GB,6906000,1663000,502000000
Highland,2011-2013,All of GB,6784000,1738000,419000000
Highland,2011-2013,Scotland,3360000,1075000,197000000
Highland,2011-2013,England,3266000,631000,213000000
Highland,2015-2017,England,3524000,730000,272000000
Highland,2015-2017,All of GB,7084000,1729000,507000000
Highland,2010-2012,England,3210000,618000,189000000
Highland,2010-2012,Scotland,3445000,1035000,186000000
Highland,2010-2012,All of GB,6712000,1670000,379000000
Highland,2016-2018,England,3593000,707000,245000000
Highland,2016-2018,Scotland,3435000,979000,219000000
Highland,2016-2018,All of GB,7118000,1709000,470000000
Highland,2009-2011,Scotland,3119000,874000,163000000
Highland,2009-2011,All of GB,6904000,1596000,372000000
Highland,2014-2016,Scotland,3313000,940000,220000000
Highland,2009-2011,England,3706000,706000,206000000
Inverclyde,2011-2013,Scotland,126000,45000,6000000
Inverclyde,2011-2013,All of GB,292000,87000,13000000
Inverclyde,2011-2013,England,166000,42000,8000000
Inverclyde,2009-2011,Scotland,112000,42000,5000000
Inverclyde,2009-2011,England,147000,35000,7000000
Inverclyde,2012-2014,England,130000,36000,6000000
Inverclyde,2012-2014,Scotland,108000,38000,6000000
Inverclyde,2009-2011,All of GB,259000,77000,11000000
Inverclyde,2012-2014,All of GB,238000,74000,11000000
Inverclyde,2010-2012,England,177000,49000,8000000
Inverclyde,2010-2012,All of GB,310000,97000,13000000
Inverclyde,2010-2012,Scotland,133000,49000,6000000
Inverclyde,2013-2015,Scotland,93000,33000,4000000
Inverclyde,2013-2015,England,110000,33000,6000000
Inverclyde,2017-2019,England,80000,32000,5000000
Inverclyde,2017-2019,Scotland,91000,26000,5000000
Inverclyde,2013-2015,All of GB,203000,66000,10000000
Inverclyde,2017-2019,All of GB,171000,58000,11000000
Inverclyde,2015-2017,All of GB,142000,58000,9000000
Inverclyde,2015-2017,England,33000,20000,4000000
Inverclyde,2015-2017,Scotland,95000,34000,5000000
Inverclyde,2014-2016,England,67000,33000,5000000
Inverclyde,2014-2016,All of GB,193000,76000,10000000
